error,participant,block,condition,colour,category
0.5,ba,1,Recall,blue1,blue
0.25,ba,1,Recall,blue2,blue
0.5,ba,1,Recall,blue3,blue
0.75,ba,1,Recall,blue4,blue
0.75,ba,1,Recall,green1,green
0.5,ba,1,Recall,green2,green
0.5,ba,1,Recall,green3,green
0.5,ba,1,Recall,green4,green
0.75,ba,1,Recall,purple1,purple
0.5,ba,1,Recall,purple2,purple
1,ba,1,Recall,purple3,purple
1,ba,1,Recall,purple4,purple
0,ba,1,Recall,red1,red
0.25,ba,1,Recall,red2,red
0.75,ba,1,Recall,red3,red
0.75,ba,1,Recall,red4,red
0.5,ba,2,Recall,blue1,blue
0.25,ba,2,Recall,blue2,blue
0.75,ba,2,Recall,blue3,blue
0.25,ba,2,Recall,blue4,blue
0.5,ba,2,Recall,green1,green
0,ba,2,Recall,green2,green
0,ba,2,Recall,green3,green
0.75,ba,2,Recall,green4,green
0.5,ba,2,Recall,purple1,purple
0.5,ba,2,Recall,purple2,purple
1,ba,2,Recall,purple3,purple
0.75,ba,2,Recall,purple4,purple
0,ba,2,Recall,red1,red
0.25,ba,2,Recall,red2,red
0.25,ba,2,Recall,red3,red
0.25,ba,2,Recall,red4,red
0.5,bb,0,Recall,blue1,blue
1,bb,0,Recall,blue2,blue
0.25,bb,0,Recall,blue3,blue
1,bb,0,Recall,blue4,blue
0.5,bb,0,Recall,green1,green
0,bb,0,Recall,green2,green
0.5,bb,0,Recall,green3,green
0.5,bb,0,Recall,green4,green
1,bb,0,Recall,purple1,purple
0.5,bb,0,Recall,purple2,purple
0.5,bb,0,Recall,purple3,purple
0.25,bb,0,Recall,purple4,purple
0.5,bb,0,Recall,red1,red
0.5,bb,0,Recall,red2,red
0,bb,0,Recall,red3,red
0.5,bb,0,Recall,red4,red
0.5,bb,1,Recall,blue1,blue
0.25,bb,1,Recall,blue2,blue
0.75,bb,1,Recall,blue3,blue
0.25,bb,1,Recall,blue4,blue
0,bb,1,Recall,green1,green
0.75,bb,1,Recall,green2,green
0.75,bb,1,Recall,green3,green
0.5,bb,1,Recall,green4,green
1,bb,1,Recall,purple1,purple
0.75,bb,1,Recall,purple2,purple
1,bb,1,Recall,purple3,purple
0.5,bb,1,Recall,purple4,purple
1,bb,1,Recall,red1,red
0,bb,1,Recall,red2,red
0.25,bb,1,Recall,red3,red
0.5,bb,1,Recall,red4,red
0.75,bb,2,Recall,blue1,blue
0.75,bb,2,Recall,blue2,blue
0.5,bb,2,Recall,blue3,blue
0.75,bb,2,Recall,blue4,blue
0,bb,2,Recall,green1,green
1,bb,2,Recall,green2,green
0.5,bb,2,Recall,green3,green
0.5,bb,2,Recall,green4,green
0.5,bb,2,Recall,purple1,purple
0.5,bb,2,Recall,purple2,purple
0.5,bb,2,Recall,purple3,purple
0.75,bb,2,Recall,purple4,purple
1,bb,2,Recall,red1,red
0.5,bb,2,Recall,red2,red
0.75,bb,2,Recall,red3,red
0.5,bb,2,Recall,red4,red
0.5,bc,0,Recall,blue1,blue
0,bc,0,Recall,blue2,blue
0.75,bc,0,Recall,blue3,blue
0.25,bc,0,Recall,blue4,blue
0.5,bc,0,Recall,green1,green
0.5,bc,0,Recall,green2,green
0.25,bc,0,Recall,green3,green
0.5,bc,0,Recall,green4,green
0.75,bc,0,Recall,purple1,purple
0.25,bc,0,Recall,purple2,purple
0.75,bc,0,Recall,purple3,purple
0.5,bc,0,Recall,purple4,purple
0.5,bc,0,Recall,red1,red
0,bc,0,Recall,red2,red
0.5,bc,0,Recall,red3,red
0.25,bc,0,Recall,red4,red
0.25,bc,1,Recall,blue1,blue
0.25,bc,1,Recall,blue2,blue
0.75,bc,1,Recall,blue3,blue
0.75,bc,1,Recall,blue4,blue
0.75,bc,1,Recall,green1,green
0.75,bc,1,Recall,green2,green
1,bc,1,Recall,green3,green
0.5,bc,1,Recall,green4,green
0.75,bc,1,Recall,purple1,purple
0.5,bc,1,Recall,purple2,purple
0.5,bc,1,Recall,purple3,purple
0.5,bc,1,Recall,purple4,purple
1,bc,1,Recall,red1,red
0.25,bc,1,Recall,red2,red
0.5,bc,1,Recall,red3,red
0.5,bc,1,Recall,red4,red
0.25,bc,2,Recall,blue1,blue
0.25,bc,2,Recall,blue2,blue
0.75,bc,2,Recall,blue3,blue
0,bc,2,Recall,blue4,blue
0.5,bc,2,Recall,green1,green
0.25,bc,2,Recall,green2,green
0.25,bc,2,Recall,green3,green
0.25,bc,2,Recall,green4,green
1,bc,2,Recall,purple1,purple
0.25,bc,2,Recall,purple2,purple
0.75,bc,2,Recall,purple3,purple
0.75,bc,2,Recall,purple4,purple
0.5,bc,2,Recall,red1,red
0,bc,2,Recall,red2,red
0.75,bc,2,Recall,red3,red
0.75,bc,2,Recall,red4,red
0.75,bd,0,Recall,blue1,blue
0.5,bd,0,Recall,blue2,blue
0.25,bd,0,Recall,blue3,blue
0.5,bd,0,Recall,blue4,blue
0.5,bd,0,Recall,green1,green
0,bd,0,Recall,green2,green
0.75,bd,0,Recall,green3,green
0.5,bd,0,Recall,green4,green
0.75,bd,0,Recall,purple1,purple
0.75,bd,0,Recall,purple2,purple
0.75,bd,0,Recall,purple3,purple
0.25,bd,0,Recall,purple4,purple
0.25,bd,0,Recall,red1,red
0.5,bd,0,Recall,red2,red
0.25,bd,0,Recall,red3,red
0,bd,0,Recall,red4,red
0.25,bd,1,Recall,blue1,blue
0.75,bd,1,Recall,blue2,blue
0.75,bd,1,Recall,blue3,blue
0.5,bd,1,Recall,blue4,blue
0.75,bd,1,Recall,green1,green
0.25,bd,1,Recall,green2,green
0.5,bd,1,Recall,green3,green
0.25,bd,1,Recall,green4,green
0.5,bd,1,Recall,purple1,purple
0.25,bd,1,Recall,purple2,purple
0,bd,1,Recall,purple3,purple
0.5,bd,1,Recall,purple4,purple
0.25,bd,1,Recall,red1,red
0.5,bd,1,Recall,red2,red
0.25,bd,1,Recall,red3,red
0.75,bd,1,Recall,red4,red
0.5,bd,2,Recall,blue1,blue
0.75,bd,2,Recall,blue2,blue
0,bd,2,Recall,blue3,blue
0.5,bd,2,Recall,blue4,blue
0,bd,2,Recall,green1,green
0.5,bd,2,Recall,green2,green
0.5,bd,2,Recall,green3,green
0.5,bd,2,Recall,green4,green
0.75,bd,2,Recall,purple1,purple
0.25,bd,2,Recall,purple2,purple
0.75,bd,2,Recall,purple3,purple
0.5,bd,2,Recall,purple4,purple
0.25,bd,2,Recall,red1,red
0.5,bd,2,Recall,red2,red
0.25,bd,2,Recall,red3,red
1,bd,2,Recall,red4,red
0,be,0,Recall,blue1,blue
0.25,be,0,Recall,blue2,blue
0.5,be,0,Recall,blue3,blue
0,be,0,Recall,blue4,blue
0,be,0,Recall,green1,green
0,be,0,Recall,green2,green
0,be,0,Recall,green3,green
0,be,0,Recall,green4,green
0,be,0,Recall,purple1,purple
0,be,0,Recall,purple2,purple
0.25,be,0,Recall,purple3,purple
0,be,0,Recall,purple4,purple
0,be,0,Recall,red1,red
0,be,0,Recall,red2,red
0,be,0,Recall,red3,red
0,be,0,Recall,red4,red
0,be,1,Recall,blue1,blue
0,be,1,Recall,blue2,blue
0,be,1,Recall,blue3,blue
0,be,1,Recall,blue4,blue
