entropy,participant,block,condition,category,ent_norm
1,be,2,Recall,purple,0.5
0.811278124,be,2,Recall,red,0.405639062
1.5,be,3,Recall,blue,0.75
1,be,3,Recall,green,0.5
1,be,3,Recall,purple,0.5
0.811278124,be,3,Recall,red,0.405639062
1,bf,0,Recall,blue,0.5
1.5,bf,0,Recall,green,0.75
2,bf,0,Recall,purple,1
2,bf,0,Recall,red,1
1,bf,1,Recall,blue,0.5
2,bf,1,Recall,green,1
1.5,bf,1,Recall,purple,0.75
1,bf,1,Recall,red,0.5
1,bf,2,Recall,blue,0.5
1.5,bf,2,Recall,green,0.75
1,bf,2,Recall,purple,0.5
1,bf,2,Recall,red,0.5
1.5,bf,3,Recall,blue,0.75
2,bf,3,Recall,green,1
1.5,bf,3,Recall,purple,0.75
1.5,bf,3,Recall,red,0.75
1,bg,0,Recall,blue,0.5
0.811278124,bg,0,Recall,green,0.405639062
1,bg,0,Recall,purple,0.5
0.811278124,bg,0,Recall,red,0.405639062
0.811278124,bg,1,Recall,blue,0.405639062
2,bg,1,Recall,green,1
1.5,bg,1,Recall,purple,0.75
0.811278124,bg,1,Recall,red,0.405639062
1.5,bg,2,Recall,blue,0.75
2,bg,2,Recall,green,1
1.5,bg,2,Recall,purple,0.75
2,bg,2,Recall,red,1
2,bg,3,Recall,blue,1
2,bg,3,Recall,green,1
2,bg,3,Recall,purple,1
2,bg,3,Recall,red,1
1,bh,0,Recall,blue,0.5
2,bh,0,Recall,green,1
1,bh,0,Recall,purple,0.5
1,bh,0,Recall,red,0.5
1,bh,1,Recall,blue,0.5
1,bh,1,Recall,green,0.5
0.811278124,bh,1,Recall,purple,0.405639062
1,bh,1,Recall,red,0.5
1,bh,2,Recall,blue,0.5
1,bh,2,Recall,green,0.5
1,bh,2,Recall,purple,0.5
1.5,bh,2,Recall,red,0.75
1,bh,3,Recall,blue,0.5
1,bh,3,Recall,green,0.5
1,bh,3,Recall,purple,0.5
1,bh,3,Recall,red,0.5
2,bi,0,Recall,blue,1
2,bi,0,Recall,green,1
2,bi,0,Recall,purple,1
1.5,bi,0,Recall,red,0.75
1.5,bi,1,Recall,blue,0.75
2,bi,1,Recall,green,1
1.5,bi,1,Recall,purple,0.75
2,bi,1,Recall,red,1
1.5,bi,2,Recall,blue,0.75
