target,distractor1,distractor2,distractor3,symbol,response,selected,context,trial,block,condition,participant,response.new,num.array,category
purple_2,blue_2,green_2,red_2,s14,correct,purple_2,c2,25,1,Mnemonic,ab,1,4,purple
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,26,1,Mnemonic,ab,1,4,blue
purple_1,blue_1,green_1,red_1,s14,correct,purple_1,c1,27,1,Mnemonic,ab,1,4,purple
green_3,blue_3,red_3,purple_3,s9,correct,green_3,c3,28,1,Mnemonic,ab,1,4,green
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,29,1,Mnemonic,ab,1,4,blue
green_1,blue_1,red_1,purple_1,s13,correct,green_1,c1,30,1,Mnemonic,ab,1,4,green
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,31,1,Mnemonic,ab,1,4,red
green_2,blue_2,red_2,purple_2,s13,correct,green_2,c2,32,2,Mnemonic,ab,1,4,green
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,33,2,Mnemonic,ab,1,4,red
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,34,2,Mnemonic,ab,1,4,blue
blue_4,green_4,red_4,purple_4,s7,correct,blue_4,c4,35,2,Mnemonic,ab,1,4,blue
green_3,blue_3,red_3,purple_3,s9,correct,green_3,c3,36,2,Mnemonic,ab,1,4,green
red_4,blue_4,green_4,purple_4,s6,correct,red_4,c4,37,2,Mnemonic,ab,1,4,red
purple_3,blue_3,green_3,red_3,s10,correct,purple_3,c3,38,2,Mnemonic,ab,1,4,purple
purple_1,blue_1,green_1,red_1,s14,correct,purple_1,c1,39,2,Mnemonic,ab,1,4,purple
green_1,blue_1,red_1,purple_1,s13,correct,green_1,c1,40,2,Mnemonic,ab,1,4,green
blue_3,green_3,red_3,purple_3,s3,correct,blue_3,c3,41,2,Mnemonic,ab,1,4,blue
purple_4,blue_4,green_4,red_4,s10,correct,purple_4,c4,42,2,Mnemonic,ab,1,4,purple
green_4,blue_4,red_4,purple_4,s9,correct,green_4,c4,43,2,Mnemonic,ab,1,4,green
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,44,2,Mnemonic,ab,1,4,red
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,45,2,Mnemonic,ab,1,4,blue
red_3,blue_3,green_3,purple_3,s6,correct,red_3,c3,46,2,Mnemonic,ab,1,4,red
purple_2,blue_2,green_2,red_2,s14,correct,purple_2,c2,47,2,Mnemonic,ab,1,4,purple
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,48,3,Mnemonic,ab,1,4,blue
purple_1,blue_1,green_1,red_1,s14,correct,purple_1,c1,49,3,Mnemonic,ab,1,4,purple
purple_4,blue_4,green_4,red_4,s10,correct,purple_4,c4,50,3,Mnemonic,ab,1,4,purple
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,51,3,Mnemonic,ab,1,4,blue
green_2,blue_2,red_2,purple_2,s13,correct,green_2,c2,52,3,Mnemonic,ab,1,4,green
blue_4,green_4,red_4,purple_4,s7,correct,blue_4,c4,53,3,Mnemonic,ab,1,4,blue
red_4,blue_4,green_4,purple_4,s6,correct,red_4,c4,54,3,Mnemonic,ab,1,4,red
purple_2,blue_2,green_2,red_2,s14,correct,purple_2,c2,55,3,Mnemonic,ab,1,4,purple
purple_3,blue_3,green_3,red_3,s10,correct,purple_3,c3,56,3,Mnemonic,ab,1,4,purple
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,57,3,Mnemonic,ab,1,4,red
red_3,blue_3,green_3,purple_3,s6,correct,red_3,c3,58,3,Mnemonic,ab,1,4,red
green_3,blue_3,red_3,purple_3,s9,correct,green_3,c3,59,3,Mnemonic,ab,1,4,green
blue_3,green_3,red_3,purple_3,s3,correct,blue_3,c3,60,3,Mnemonic,ab,1,4,blue
green_4,blue_4,red_4,purple_4,s9,correct,green_4,c4,61,3,Mnemonic,ab,1,4,green
green_1,blue_1,red_1,purple_1,s13,correct,green_1,c1,62,3,Mnemonic,ab,1,4,green
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,63,3,Mnemonic,ab,1,4,red
blue_2,green_2,red_2,purple_2,s13,incorrect,red_2,c2,0,0,Mnemonic,ac,0,4,blue
green_3,blue_3,red_3,purple_3,s5,incorrect,red_3,c3,1,0,Mnemonic,ac,0,4,green
purple_1,blue_1,green_1,red_1,s4,correct,purple_1,c1,2,0,Mnemonic,ac,1,4,purple
red_4,blue_4,green_4,purple_4,s2,incorrect,blue_4,c4,3,0,Mnemonic,ac,0,4,red
blue_3,green_3,red_3,purple_3,s1,correct,blue_3,c3,4,0,Mnemonic,ac,1,4,blue
green_4,blue_4,red_4,purple_4,s3,correct,green_4,c4,5,0,Mnemonic,ac,1,4,green
purple_4,blue_4,green_4,red_4,s4,correct,purple_4,c4,6,0,Mnemonic,ac,1,4,purple
red_1,blue_1,green_1,purple_1,s13,correct,red_1,c1,7,0,Mnemonic,ac,1,4,red
red_2,blue_2,green_2,purple_2,s1,incorrect,blue_2,c2,8,0,Mnemonic,ac,0,4,red
green_1,blue_1,red_1,purple_1,s6,incorrect,red_1,c1,9,0,Mnemonic,ac,0,4,green
red_3,blue_3,green_3,purple_3,s13,incorrect,blue_3,c3,10,0,Mnemonic,ac,0,4,red
blue_4,green_4,red_4,purple_4,s1,correct,blue_4,c4,11,0,Mnemonic,ac,1,4,blue
purple_3,blue_3,green_3,red_3,s4,correct,purple_3,c3,12,0,Mnemonic,ac,1,4,purple
green_2,blue_2,red_2,purple_2,s3,correct,green_2,c2,13,0,Mnemonic,ac,1,4,green
purple_2,blue_2,green_2,red_2,s4,correct,purple_2,c2,14,0,Mnemonic,ac,1,4,purple
blue_1,green_1,red_1,purple_1,s9,incorrect,red_1,c1,15,0,Mnemonic,ac,0,4,blue
red_2,blue_2,green_2,purple_2,s2,incorrect,blue_2,c2,16,1,Mnemonic,ac,0,4,red
purple_1,blue_1,green_1,red_1,s4,correct,purple_1,c1,17,1,Mnemonic,ac,1,4,purple
purple_3,blue_3,green_3,red_3,s4,correct,purple_3,c3,18,1,Mnemonic,ac,1,4,purple
red_4,blue_4,green_4,purple_4,s2,incorrect,blue_4,c4,19,1,Mnemonic,ac,0,4,red
green_1,blue_1,red_1,purple_1,s3,correct,green_1,c1,20,1,Mnemonic,ac,1,4,green
blue_4,green_4,red_4,purple_4,s1,correct,blue_4,c4,21,1,Mnemonic,ac,1,4,blue
red_3,blue_3,green_3,purple_3,s2,correct,red_3,c3,22,1,Mnemonic,ac,1,4,red
green_4,blue_4,red_4,purple_4,s3,correct,green_4,c4,23,1,Mnemonic,ac,1,4,green
green_3,blue_3,red_3,purple_3,s3,correct,green_3,c3,24,1,Mnemonic,ac,1,4,green
purple_4,blue_4,green_4,red_4,s4,correct,purple_4,c4,25,1,Mnemonic,ac,1,4,purple
